Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Ford F-100 3.9 Cab. Simple Xlt 4x2,La Pampa,Ford,F-100,2010,3.9 Cab. Simple Xlt 4x2,,Diésel,2,Manual,3.9,Pick-Up,520000,,Sí,Hidráulica,4x2,3,110 L,203,5345,1935,2118,2728 mm,27000000
Peugeot 208 1.6l Allure Tiptronic am23.5,Bs.As. G.B.A. Oeste,Peugeot,208,2023,1.6l Allure Tiptronic am23.5,Negro,Nafta,5,Automática,1.6,Hatchback,11086,,Sí,Asistida,Delantera,5,47 L,115,4075,1453,1738,2538 mm,18000
Toyota Corolla 1.8 Se-g Cvt 140cv,Capital Federal,Toyota,Corolla,2018,1.8 Se-g Cvt 140cv,Blanco,Nafta,4,Automática,1.8,Sedán,80000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,18500
Volkswagen Polo 1.6 Msi Highline,Bs.As. G.B.A. Oeste,Volkswagen,Polo,2017,1.6 Msi Highline,,Nafta,5,Manual,1.6,Hatchback,112000,,,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,13000
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Buenos Aires Interior,Ford,Ranger,2019,3.2 Cd Limited Tdci 200cv Automática,Rojo,Diésel,4,Automática,3.2,Pick-Up,50000,Sí,,Eléctrica,4x4,5,80 L,200,5359,1815,1860,3220 mm,27000
Kia Sportage 2.0 Ex At 154cv 4x2,Capital Federal,Kia,Sportage,2019,2.0 Ex At 154cv 4x2,Negro,Nafta,5,Automática,2.0,SUV,29000,Sí,Sí,Eléctrica,4x2,5,62 L,154,4480,1655,1855,2670 mm,26900
Nissan Kicks 1.6 Sense Mt,Capital Federal,Nissan,Kicks,2021,1.6 Sense Mt,Gris,Nafta,4,Manual,1,Hatchback,30671,No,No,Asistida,4x2,5,41 L,120,4295,1590,1760,2610 mm,24280000
Renault Kwid 1.0 Sce Zen Mt,Bs.As. G.B.A. Norte,Renault,Kwid,2017,1.0 SCE ZEN MT,Rojo,Nafta,4,Manual,,,69058,No,No,Asistida,,,,,,,,,11090000
Peugeot 408 1.6 Feline Thp 165cv Tiptronic,Bs.As. G.B.A. Oeste,Peugeot,408,2018,1.6 Feline Thp 165cv Tiptronic,Blanco,Nafta,4,Automática,1.6,Sedán,26000,Sí,Sí,Eléctrica,Delantera,5,60 L,165,4690,1505,1802,2710 mm,21000000
Chevrolet Agile Ltz,Bs.As. G.B.A. Sur,Chevrolet,Agile,2012,Ltz,,Nafta,5,,,,89000,,,,,,,,,,,,8999900
Fiat Cronos 1.3 Gse Drive,Córdoba,Fiat,Cronos,2022,1.3 Gse Drive,Gris,Nafta,4,Manual,1.3,Sedán,19000,No,Sí,hydraulic,Delantera,5,48 L,99,4364,1508,1724,2521 mm,21000000
Nissan Kicks 1.6 Special Edition Cvt 120cv,Chaco,Nissan,Kicks,2020,1.6 Special Edition Cvt 120cv,Blanco,Nafta,5,Automática,1.6,Hatchback,31000,Sí,Sí,Asistida,Delantera,5,41 L,120,4295,1590,1760,2610 mm,30000000
Mercedes-Benz Clase GLA 1.6 Gla250 Amg-line 211cv,Capital Federal,,Clase GLA,2018,1.6 Gla250 Amg-line 211cv,Negro,Nafta,5,Automática,1.6,SUV,60000,Sí,Sí,Asistida,4x4,5,56 L,211,,,,,40900
Peugeot 207 1.4 Xr,Bs.As. G.B.A. Sur,Peugeot,207,2011,1.4 Xr,,Nafta,4,Manual,1.4,Hatchback,134460,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1441,1720,2540 mm,8000000
Nissan Frontier 2.3 X-Gear + Cd 4X4 At,Bs.As. G.B.A. Norte,Nissan,Frontier,2023,,,Diésel,4,Automática,2.3,Pick-Up,13000,Sí,,Hidráulica,4x4,5,80 L,190,5260,1850,1790,3150 mm,28500
Ford F-150 302 Efi 4x4,Mendoza,Ford,F-150,1995,302 efi 4x4,,Nafta,2,,,,300000,,,,,,,,,,,,21000
Peugeot 2008 1.6 Thp Sport am20,Bs.As. G.B.A. Sur,Peugeot,2008,2020,1.6 Thp Sport am20,Blanco,Nafta,5,Manual,1.6,SUV,38000,Sí,Sí,,Delantera,5,55 L,165,4159,1583,1739,2542 mm,22000000
Jeep Renegade 1.8 Sport,Bs.As. G.B.A. Sur,Jeep,Renegade,2022,1.8 Sport,Negro,Nafta,5,Manual,1.8,SUV,14000,Sí,,Hidráulica,4x2,5,60 L,217,4624,1670,1798,2570 mm,29500000
Volkswagen Saveiro 1.6 Cross Gp Cd 110cv Pack High,Santa Fe,Volkswagen,Saveiro,2017,1.6 Cross Gp Cd 110cv Pack High,Azul,Nafta,2,Manual,1.6,Pick-Up,24000,No,,Hidráulica,Delantera,2,55 L,110,4493,1497,1728,2753 mm,14000
Toyota Etios 1.5 Sedan Xls,Buenos Aires Interior,Toyota,Etios,2023,1.5 Sedan Xls,Gris,Nafta,4,Manual,1.5,Sedán,500,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,24499999
Chevrolet Corsa 1.4 Classic Gls,Bs.As. G.B.A. Norte,Chevrolet,Corsa,2009,1.4 Classic Gls,,Nafta,4,Manual,1.4,Sedán,214000,,Sí,Hidráulica,Delantera,5,54 L,94,4056,1420,1944,3095 mm,7000
Volkswagen Golf 1.4 Highline Tsi Dsg,Mendoza,Volkswagen,Golf,2018,1.4 Highline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,85000,Sí,,Eléctrica,Delantera,5,50 L,150,4255,1452,1799,2638 mm,23000
Volkswagen Suran 1.6 I Trendline 90b,Bs.As. G.B.A. Sur,Volkswagen,Suran,2010,1.6 I Trendline 90b,Blanco,Nafta,5,Manual,1.6,Monovolumen,165000,,,Hidráulica,Delantera,5,50 L,101,4180,1576,1660,2467 mm,7000
Jeep Compass 2.4 Limited Plus,Bs.As. G.B.A. Oeste,Jeep,Compass,2018,2.4 Limited Plus,Blanco,Nafta,5,Automática,2.4,SUV,61000,,,,4x2,5,60 L,174,4394,1650,2033,2636 mm,28990
Fiat Fiorino 1.4 Fire Evo Pack Top 87cv,Capital Federal,Fiat,Fiorino,2017,1.4 Fire Evo Pack Top 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,92000,,Sí,Hidráulica,Delantera,2,64 L,87,4184,1873,1780,2699 mm,13400
Audi A4 1.8 Ambition Tfsi 170cv Multitronic,Capital Federal,Audi,A4,2012,1.8 Ambition Tfsi 170cv Multitronic,Gris,Nafta,4,Automática,1.8,Sedán,245000,Sí,Sí,Asistida,Delantera,5,63 L,170,4701,1427,1782,2760 mm,13400
Honda CR-V 2.4 Ex At 4wd (mexico),Bs.As. G.B.A. Sur,Honda,CR-V,2011,,,Nafta,5,Automática,2.4,SUV,191000,Sí,,Eléctrica,4x4,5,58 L,170,4575,1680,1656,2465 mm,13600
Renault Kangoo 1.6 Furgon Ph3 Confort Pack 5as Lc,Bs.As. G.B.A. Sur,Renault,Kangoo,2017,1.6 Furgon Ph3 Confort Pack 5as Lc,Blanco,Nafta,3,Manual,1.6,Furgón,83500,,,Hidráulica,Delantera,2,52 L,95,4010,1860,1672,2600 mm,13200
Ford Mondeo 2.0 Titanium Ecoboost At 240cv,Capital Federal,Ford,Mondeo,2018,2.0 Titanium Ecoboost At 240cv,Negro,Nafta,4,Automática,2.0,Sedán,62000,Sí,,Eléctrica,Delantera,5,70 L,240,4844,1500,1768,2473 mm,22500
Volkswagen Virtus 1.4 Tsi Gts,Capital Federal,Volkswagen,Virtus,2024,1.4 Tsi Gts,,Nafta,4,Automática,1.4,Sedán,1111,Sí,Sí,Hidráulica,Delantera,5,55 L,150,4230,1464,1656,2467 mm,27200000
Citroën Berlingo Multispace 1.6 Sx Pack Hdi 92cv Am53,Bs.As. G.B.A. Sur,,Berlingo Multispace,2013,1.6 Sx Pack Hdi 92cv Am53,,Diésel,5,Manual,1.6,Monovolumen,134000,,Sí,Hidráulica,Delantera,5,60 L,92,4137,1858,1788,2685 mm,12500000
Volkswagen Tiguan 2.0 Tsi Sport Style Mt,Capital Federal,Volkswagen,Tiguan,2009,2.0 Tsi Sport Style Mt,Negro,Nafta,5,Manual,2.0,SUV,100000,Sí,Sí,Asistida,4x4,5,64 L,200,4427,1683,1809,2604 mm,11200
Peugeot 307 2.0 Sedan Hdi Xt Premium 110cv,Bs.As. G.B.A. Norte,Peugeot,307,2007,2.0 Sedan Hdi Xt Premium 110cv,Plateado,Diésel,4,Manual,2.0,Sedán,200000,Sí,,Hidráulica,Delantera,5,60 L,110,4479,1520,1746,2608 mm,6500
Volkswagen Bora 2.0 Trendline 115cv Tiptronic,Buenos Aires Interior,Volkswagen,Bora,2012,2.0 Trendline 115cv Tiptronic,Gris,Nafta,4,Automática,2.0,Sedán,275000,Sí,,Hidráulica,Delantera,5,55 L,116,4376,1446,1735,2518 mm,11400000
Toyota Yaris 1.5 107cv Xs 5 p,Bs.As. G.B.A. Norte,Toyota,Yaris,2021,1.5 107cv Xs 5 p,Plateado,Nafta,5,Manual,1.5,Hatchback,91000,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,15800
Ford Fiesta Kinetic A,Bs.As. G.B.A. Norte,Ford,Fiesta Kinetic,2017,a,,Nafta,5,,,,108000,,,,,,,,,,,,12000
Fiat Idea 1.6 Adventure 115cv,Bs.As. G.B.A. Sur,Fiat,Idea,2013,1.6 Adventure 115cv,Gris,Nafta,5,Manual,1.6,Monovolumen,137000,,Sí,Hidráulica,Delantera,5,48 L,115,4207,1734,1775,2780 mm,12500000
Mercedes-Benz Clase GLA 1.6 Gla200 At Urban 156cv,Bs.As. G.B.A. Norte,,Clase GLA,2016,1.6 Gla200 At Urban 156cv,Gris,Nafta,5,Automática,1.6,SUV,63300,Sí,Sí,Asistida,Delantera,5,56 L,156,,,,,25400
Volkswagen Up! WHITE 5P L14,Bs.As. G.B.A. Norte,Volkswagen,,2016,WHITE 5P L14,Blanco,Nafta,5,Manual,,Hatchback,57476,,Sí,Asistida,Delantera,5,50 L,,,,,,14500000
Toyota Etios 1.5 Xls,Capital Federal,Toyota,Etios,2021,1.5 Xls,,Nafta,5,Manual,1.5,Hatchback,41000,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,16500
Peugeot 207 1.4 Sedan Allure 75cv,Capital Federal,Peugeot,207,2014,1.4 Sedan Allure 75cv,Blanco,Nafta,4,Manual,1.4,Sedán,89000,,Sí,Hidráulica,Delantera,5,50 L,75,4235,1446,1720,2540 mm,7400
BMW Serie 2 3.0 240i M Package,Santa Fe,BMW,Serie 2,2024,3.0 240i M Package,Azul,Nafta,2,Automática,3.0,,1500,,Sí,Asistida,Trasera,4,52 L,340,4432,1423,1756,2600 mm,109000
Fiat Siena 1.4 Fire Da,Buenos Aires Interior,Fiat,Siena,2009,1.4 Fire Da,Verde,Nafta,4,Manual,1.4,Sedán,135000,,No,Hidráulica,Delantera,5,48 L,82,4135,1453,1850,3150 mm,8500000
Peugeot Partner Furgon Confort 1.6 Hdi,Buenos Aires Interior,Peugeot,Partner Furgon,2015,Confort 1.6 Hdi,,Diésel,3,,,,254000,,,,,,,,,,,,12000
BMW X6 3.0 Xdrive 35i Pure Extravagance,Bs.As. Costa Atlántica,BMW,X6,2019,3.0 Xdrive 35i Pure Extravagance,,Nafta,5,Automática,3.0,SUV,100000,Sí,No,Asistida,4x4,4,85 L,306,4877,1669,1838,2690 mm,75000
Chevrolet Sonic 1.6 Ltz 5 p,Bs.As. G.B.A. Norte,Chevrolet,Sonic,2013,1.6 Ltz 5 p,Negro,Nafta,5,Manual,1.6,Hatchback,95000,Sí,Sí,Hidráulica,Delantera,5,46 L,115,4039,1517,1820,2700 mm,10500
Volkswagen Up! 1.0 Take Up! Aa 75cv,Bs.As. G.B.A. Sur,Volkswagen,,2017,,Blanco,Nafta,3,Manual,1.0,Hatchback,78600,,Sí,,Delantera,5,50 L,75,3605,1500,1645,2421 mm,13700000
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Bs.As. G.B.A. Norte,Volkswagen,Tiguan Allspace,2018,1.4 Tsi Trendline 150cv Dsg,Celeste,Nafta,5,Automática,1.4,SUV,90000,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,24000
Fiat Idea 1.4 Attractive 82cv Abs Abcp,Bs.As. G.B.A. Oeste,Fiat,Idea,2015,1.4 Attractive 82cv Abs Abcp,Plateado,Nafta,5,Manual,1.4,Monovolumen,21000,,Sí,Hidráulica,Delantera,5,48 L,82,3955,1701,1770,2760 mm,12500000
Renault Logan 1.6 Authentique 85cv,Bs.As. G.B.A. Oeste,Renault,Logan,2013,1.6 Authentique 85cv,Negro,Nafta,4,Manual,1.6,Sedán,343000,,,Hidráulica,Delantera,5,50 L,85,4350,1529,1740,2630 mm,4500
Peugeot 207 1.4 Allure 75cv,Bs.As. G.B.A. Norte,Peugeot,207,2013,1.4 Allure 75cv,Plateado,Nafta,3,Manual,1.4,Hatchback,110000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1669,2443 mm,9300000
Toyota Etios 1.5 Sedan Xls At,Bs.As. G.B.A. Norte,Toyota,Etios,2023,1.5 Sedan Xls At,Blanco,Nafta,4,Automática,1.5,Sedán,4200,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,24900000
Renault Sandero Stepway 1.6 16v Zen,Capital Federal,Renault,Sandero Stepway,2020,1.6 16v Zen,,Nafta,5,Manual,1.6,Hatchback,75000,Sí,,Hidráulica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,14500
Citroën C4 2.0 Sedan Sx Am73,Bs.As. G.B.A. Sur,,C4,2013,2.0 Sedan Sx Am73,Gris,Nafta,4,Manual,2.0,Sedán,177000,Sí,Sí,Asistida,Delantera,5,68 L,143,4770,1510,1752,2700 mm,8500000
Audi A3 1.4 Tfsi 150 Cv,Chaco,Audi,A3,2017,1.4 Tfsi 150 Cv,,Nafta,3,Manual,1.4,Hatchback,38000,,Sí,Eléctrica,Delantera,5,50 L,150,4237,1421,1842,2468 mm,26000
BMW Serie 1 3.0 130i M Sport Package,Bs.As. G.B.A. Norte,BMW,Serie 1,2007,3.0 130i M Sport Package,Gris,Nafta,5,Manual,3.0,Hatchback,146000,,Sí,Eléctrica,Trasera,5,53 L,265,4239,1421,1748,2660 mm,15000
Peugeot 206 1.9 Xrd,Buenos Aires Interior,Peugeot,206,1999,1.9 Xrd,,Diésel,3,Manual,1.9,Hatchback,150000,,,,Delantera,5,50 L,70,3835,1432,1652,2442 mm,5000
Peugeot 308 1.6 Allure Nav 115cv,Bs.As. G.B.A. Oeste,Peugeot,308,2012,1.6 Allure Nav 115cv,,Nafta,5,Manual,1.6,Hatchback,107000,,,Hidráulica,Delantera,5,60 L,115,4276,1519,1815,2608 mm,9400
Audi Q5 2.0 Tfsi 225cv Tiptronic Quattro,Capital Federal,Audi,Q5,2013,2.0 Tfsi 225cv Tiptronic Quattro,Gris,Nafta,5,Automática,2.0,SUV,103000,No,Sí,Asistida,Integral,5,75 L,225,4629,1653,1715,2452 mm,22200
Volkswagen Polo 1.6 Msi Track,Bs.As. G.B.A. Norte,Volkswagen,Polo,2024,1.6 Msi Track,,Nafta,5,Manual,1.6,Hatchback,1000,,,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,17400
Peugeot 208 1.6 Allure Nav Tiptronic,Bs.As. G.B.A. Sur,Peugeot,208,2020,1.6 Allure Nav Tiptronic,,Nafta,5,Automática,1.6,Hatchback,59000,,Sí,Hidráulica,Delantera,5,55 L,115,3872,1470,1702,2541 mm,18000
"Dodge Journey 2.4 Sxt 170cv (techo, Dvd, Nav)",Córdoba,Dodge,Journey,2017,,Negro,Nafta,5,Automática,2.4,SUV,185000,Sí,Sí,Hidráulica,4x2,5,78 L,170,4888,1691,1877,2947 mm,18000
Fiat Punto 1.6 Essence,Bs.As. G.B.A. Oeste,Fiat,Punto,2012,1.6 Essence,,Nafta,5,Manual,1.6,Hatchback,110000,No,Sí,Hidráulica,Delantera,5,60 L,115,4030,1505,1687,2510 mm,7000
Volkswagen Gol Trend 1.6 101cv,Bs.As. G.B.A. Oeste,Volkswagen,Gol Trend,2012,1.6 101cv,,Nafta,5,Manual,1.6,Hatchback,130000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,10000
BMW X1 2.0 Sdrive 20i Sportline 192cv,Buenos Aires Interior,BMW,X1,2017,2.0 Sdrive 20i Sportline 192cv,Gris,Nafta,5,Manual,2.0,SUV,116000,,Sí,Hidráulica,4x2,5,61 L,184,4477,1545,1722,2489 mm,31900
Peugeot 206 1.4 Generation 75cv,Bs.As. G.B.A. Norte,Peugeot,206,2009,1.4 Generation 75cv,,Nafta,5,Manual,1.4,Hatchback,250000,,,Mecánica,Delantera,5,50 L,75,3835,1426,1652,2442 mm,5500000
Ford Mondeo 2.0 Titanium Ecoboost At 240cv,Santa Fe,Ford,Mondeo,2018,2.0 Titanium Ecoboost At 240cv,Plateado,Nafta,4,Automática,2.0,Sedán,84200,Sí,,Eléctrica,Delantera,5,70 L,240,4844,1500,1768,2473 mm,23500
Renault Kangoo 1.6 Furgon Ph3 Gran Confort Lc,Bs.As. G.B.A. Norte,Renault,Kangoo,2015,1.6 Furgon Ph3 Gran Confort Lc,Gris,Nafta,3,Manual,1.6,Furgón,120000,,,Hidráulica,Delantera,2,52 L,95,4010,1860,1672,2600 mm,8000
Nissan Kicks 1.6 Advance 120cv At,Bs.As. G.B.A. Sur,Nissan,Kicks,2017,1.6 Advance 120cv At,Naranja,Nafta,5,Automática,1.6,Hatchback,103000,,,,Delantera,5,41 L,120,4295,1590,1760,2610 mm,22888000
Fiat Toro 1.8 Freedom 4X2 At,Córdoba,Fiat,Toro,2020,1.8 Freedom 4X2 At,Blanco,Nafta,4,Automática,1.8,Pick-Up,72000,,,,4x2,5,60 L,130,4915,1729,1844,2990 mm,25990000
Ford F-150 3.9 D,Bs.As. G.B.A. Sur,Ford,F-150,1994,3.9 D,Azul,Diésel,2,Manual,3.9,Pick-Up,156000,,,,4x4,3,110 L,67,6243,2000,2370,2970 mm,23900000
Volkswagen Nivus 1.0 Tsi Tiptronic Comfortline,Bs.As. G.B.A. Oeste,Volkswagen,Nivus,2021,1.0 Tsi Tiptronic Comfortline,Blanco,Nafta,5,Automática,1.0,SUV,64000,Sí,Sí,Eléctrica,4x2,5,52 L,116,4266,1493,1757,2566 mm,26000000
Toyota Hilux 2.8 Cd Srv 177cv 4x2,Buenos Aires Interior,Toyota,Hilux,2023,2.8 Cd Srv 177cv 4x2,,Diésel,4,Manual,2.8,Pick-Up,25000,Sí,,Hidráulica,4x2,5,80 L,177,5260,1850,1855,2860 mm,39500000
Fiat Toro 2.0 Volcano 4x4 At Pack Premium,Bs.As. G.B.A. Sur,Fiat,Toro,2019,2.0 Volcano 4x4 At Pack Premium,,Diésel,4,Automática,2.0,Pick-Up,68000,,,,4x4,5,60 L,170,4915,1690,1669,2443 mm,15000000
Chevrolet Tracker 1.2 Ltz Turbo At,Bs.As. G.B.A. Sur,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Azul,Nafta,5,Automática,1.2,SUV,50000,Sí,Sí,Eléctrica,4x2,5,44 L,132,4270,1626,1791,2570 mm,15900000
Volkswagen Up! 1.0 Take Up! Aa 75cv 3 p,Santa Fe,Volkswagen,,2016,,Rojo,Nafta,3,Manual,1.0,Hatchback,62849,,Sí,,Delantera,5,50 L,75,3605,1500,1645,2421 mm,12500000
Toyota Rav4 Hv 2.5 Limited 4x2   Uct,Capital Federal,Toyota,RAV4,2019,HV 2.5 LIMITED 4X2,Gris,Híbrido,5,Automática secuencial,2.5,SUV,87574,,,Eléctrica,,,,,,,,,51000000
BMW Serie 2 2.0 220i Sport Line 184cv,Santa Fe,BMW,Serie 2,2016,2.0 220i Sport Line 184cv,Negro,Nafta,2,Automática,2.0,,144000,,Sí,Asistida,Trasera,4,52 L,184,4432,1423,1756,2600 mm,25900
Toyota SW4 2.8 Srx 177cv 4x4 7as At,Capital Federal,Toyota,SW4,2020,2.8 Srx 177cv 4x4 7as At,,Diésel,5,Automática,2.8,SUV,10000,,,Hidráulica,4x4,7,80 L,177,4705,1850,1840,2750 mm,46000
Peugeot 208 1.6 Feline Tiptronic,Bs.As. G.B.A. Oeste,Peugeot,208,2020,1.6 Feline Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback,43000,Sí,Sí,Asistida,Delantera,5,55 L,115,3975,1470,1740,2540 mm,17600
Chevrolet Corsa 1.6 Gl Aa Dh,Bs.As. G.B.A. Sur,Chevrolet,Corsa,2005,1.6 Gl Aa Dh,Gris,Nafta,4,Manual,1.6,Sedán,122800,,Sí,,,,,,,,,,6000
Honda HR-V 1.8 Lx 2wd Cvt,Córdoba,Honda,HR-V,2016,1.8 Lx 2wd Cvt,,Nafta,5,Automática,1.8,SUV,85000,Sí,,Eléctrica,4x2,5,50 L,140,4294,1586,1770,2640 mm,23000000
Chevrolet Celta Lt,Bs.As. G.B.A. Oeste,Chevrolet,Celta,2012,lt,,Nafta,3,,,,110000,,,,,,,,,,,,6000
Volkswagen Golf 2.0 Gti Tsi App Connect,Bs.As. G.B.A. Norte,Volkswagen,Golf,2018,2.0 Gti Tsi App Connect,,Nafta,5,Automática,2.0,Hatchback,29000,Sí,,Eléctrica,Delantera,5,50 L,230,4255,1452,1799,2631 mm,39000
Chevrolet Classic 1.4 Sedan Ls Abs Airbag,Bs.As. G.B.A. Norte,Chevrolet,Classic,2017,1.4 Sedan Ls Abs Airbag,,Nafta,4,Manual,1.4,Sedán,127000,,Sí,Hidráulica,Delantera,5,54 L,92,4152,1440,1944,3095 mm,8200
Jeep Wrangler 3.6 Unlimited 284hp Atx,Chaco,Jeep,Wrangler,2018,3.6 Unlimited 284hp Atx,Negro,Nafta,3,Automática,3.6,Hatchback,54000,,,,4x4,4,71 L,284,4223,1840,1873,2423 mm,63900
Peugeot 208 1.6 Allure Nav Tiptronic,Bs.As. G.B.A. Oeste,Peugeot,208,2017,1.6 Allure Nav Tiptronic,,Nafta,5,Automática,1.6,Hatchback,50135,,Sí,Hidráulica,Delantera,5,55 L,115,3872,1470,1702,2541 mm,13250
Renault Sandero 1.6 Authentique Pack I 90cv,Bs.As. G.B.A. Oeste,Renault,Sandero,2014,1.6 Authentique Pack I 90cv,Gris,Nafta,5,Manual,1.6,Hatchback,149000,,,Hidráulica,Delantera,5,50 L,90,4023,1528,1746,2591 mm,6500
Fiat Toro 1.8 Freedom 4x2 At,Capital Federal,Fiat,Toro,2019,1.8 Freedom 4x2 At,Negro,Nafta,4,Automática,1.8,Pick-Up,56300,,,Hidráulica,4x2,5,60 L,170,4915,1690,1669,2443 mm,22900000
Fiat Palio 1.4 Attractive 85cv,Buenos Aires Interior,Fiat,Palio,2016,1.4 Attractive 85cv,,Nafta,5,Manual,1.4,Hatchback,97800,,Sí,Hidráulica,Delantera,5,48 L,85,3875,1504,1922,4025 mm,13800000
Volkswagen T-Cross 1.6 Highline At,Capital Federal,Volkswagen,T-Cross,2019,1.6 Highline At,Azul,Nafta,5,Automática,1.6,SUV,62000,Sí,Sí,Eléctrica,4x2,5,64 L,110,4199,1598,1760,2651 mm,20500
Chevrolet Celta 1.4 Advantage Aa+dir,Capital Federal,Chevrolet,Celta,2015,,Negro,Nafta,5,Manual,1.4,Hatchback,38000,No,Sí,Asistida,Delantera,5,54 L,92,3799,1408,1944,3095 mm,8300
Chevrolet Tracker 1.8 Ltz,Bs.As. G.B.A. Sur,Chevrolet,Tracker,2018,1.8 Ltz,Gris,Nafta,5,Manual,1.8,SUV,65000,,Sí,,4x2,5,53 L,141,4248,1674,1657,2465 mm,16500
Citroën C4 Cactus 1.6 Thp 165 At6 Shine,Capital Federal,,C4 Cactus,2020,1.6 Thp 165 At6 Shine,Blanco,Nafta,4,Automática,1.6,SUV,69900,,,,Delantera,5,55 L,165,4170,1534,1979,2600 mm,17900
Toyota Etios 1.5 X,Bs.As. G.B.A. Norte,Toyota,Etios,2015,1.5 X,Rojo,Nafta,5,Manual,1.5,Hatchback,72000,Sí,,Eléctrica,Delantera,5,45 L,90,3777,1510,1695,2460 mm,14070000
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x2,Bs.As. G.B.A. Norte,Ford,Ranger,2021,2.2 Cd Xl Tdci 150cv 4x2,,Diésel,4,Manual,2.2,Pick-Up,28000,,,Eléctrica,4x2,5,80 L,150,5359,1800,1860,3220 mm,23000
Toyota Sw4 Srx Automática,Corrientes,Toyota,SW4,2019,Srx 2.8 automática,,Diésel,4,,,,91000,,,,,,,,,,,,40000
Chevrolet Cruze 1.4 lt turbo,Capital Federal,Chevrolet,Cruze,2017,1.4 lt turbo,Plateado,Nafta,4,Automática,1.4,Sedán,79600,Sí,Sí,Eléctrica,Delantera,5,52 L,153,4665,1484,2042,2700 mm,15000000
Volkswagen Vento 2.5 Luxury 170cv,Bs.As. G.B.A. Oeste,Volkswagen,Vento,2010,2.5 Luxury 170cv,Azul,Nafta,4,Manual,2.5,Sedán,215000,Sí,Sí,Eléctrica,Delantera,5,55 L,170,4554,1461,1778,2651 mm,10500
Volkswagen Gol 1.4 Power Ps+ac 83cv,Capital Federal,Volkswagen,Gol,2013,,Negro,Nafta,3,Manual,1.4,Hatchback,165000,No,Sí,Hidráulica,Delantera,5,51 L,83,3951,1414,1656,2465 mm,6500
Ford Ecosport 1.5 Se 123cv 4x2 Manual,Bs.As. G.B.A. Oeste,Ford,Ecosport,2021,1.5 Se 123cv 4x2 Manual,Blanco,Nafta,5,Manual,1.5,SUV,39000,,Sí,Asistida,4x2,5,52 L,123,4241,1693,1821,2608 mm,22000000
Peugeot 207 1.6 Xs,Córdoba,Peugeot,207,2012,1.6 Xs,,Nafta,5,Manual,1.6,Hatchback,172500,,Sí,Hidráulica,Delantera,5,50 L,106,3872,1441,1669,2443 mm,9500000
Renault Fluence 2.0 Privilege Cvt,Bs.As. G.B.A. Oeste,Renault,Fluence,2013,2.0 Privilege Cvt,,Nafta,4,Automática,2.0,Sedán,170000,Sí,,Eléctrica,Delantera,5,60 L,143,4618,1479,1810,2700 mm,10500000
Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,Mendoza,Chevrolet,S10,2023,2.8 Cd 4x4 Z71 Tdci 200cv At,,Diésel,4,Automática,2.8,Pick-Up,30000,Sí,Sí,Asistida,4x4,5,76 L,200,5367,1889,1820,2709 mm,38990000
Fiat Toro 1.8 At Freedom 77.000km 2019 (fran),Bs.As. G.B.A. Sur,Fiat,Toro,2019,1.8 AT Freedom,Plateado,Nafta/GNC,4,Automática,,Pick-Up,77000,,,Asistida,,,,,,,,,21200000
Renault Koleos 2.5 Dynamique 4x4 Mt,Buenos Aires Interior,Renault,Koleos,2012,2.5 Dynamique 4x4 Mt,,Nafta,5,Manual,2.5,SUV,175000,Sí,,Eléctrica,4x4,5,65 L,170,4520,1695,1855,2690 mm,14000000
Peugeot 308 1.6 Sport Thp 163cv,Bs.As. G.B.A. Sur,Peugeot,308,2015,1.6 Sport Thp 163cv,Blanco,Nafta,5,Automática,1.6,Hatchback,90000,Sí,Sí,Hidráulica,Delantera,5,60 L,163,4276,1519,1815,2608 mm,15800000
